Android-inspired jumpsuit with built-in holographic interface, Madam, Average Height, in shape, Heart-Shaped Face, Olive Skin, White Hair, dark brown Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Waterfall Braid,  black metallic lipstick  
Mysterious cloak made of interwoven shadow fabric, Superwoman, Tall, Wide Hips, Square Face, Olive Skin, Dark Brown Hair, purple Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Layered Bob,  plum satin  lipstick  
Mystical garment with shifting color gradients, Sensation, Short, Firm, Square Face, Tan Skin, White Hair, Hazel Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Dutch Braid,  light pink velvet  lipstick  
Biomechanical exosuit with integrated biofeedback sensors, Empress, Short, Narrow Hips, Round Face, Dark Skin, Red Hair, coral Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Curled Bob,  augmented bodyparts,  brown matte  lipstick  
Elegant dress with holographic lacework, Heiress, Short, in shape, Oval Face, Dark Skin, Brunette Hair, Brown Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Low Chignon,  light pink stain  lipstick  
Armor-like suit with holographic circuitry overlays, Female Warrior, Tall, Thin, Heart-Shaped Face, Fair Skin, Auburn Hair, Gray Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Lace Braid,  light pink velvet  lipstick  
astronaut uniform, Trailblazer, Average Height, Wide Hips, Oval Face, Fair Skin, Light Brown Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Sleek Waves,  violet velvet  lipstick  
Quantum entanglement suits, Queen, Average Height, Fit, Square Face, Dark Skin, Auburn Hair, black Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Coarse Hair, Straight Updo,  cherry satin  lipstick  
Hooded cloak with bioluminescent patterns, Empress, Tall, Toned, Heart-Shaped Face, Fair Skin, Chestnut Hair, grey Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Side Bangs,  rose gloss  lipstick  
Light-based energy harnessing suit with luminescent patterns, Lady, Average Height, Firm, Heart-Shaped Face, Olive Skin, Gray Hair, Blue Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Braided Updo,  brown stain  lipstick  
Light-based energy harnessing suit with luminescent patterns, Heiress, Short, Slim, Round Face, Dark Skin, Honey Blonde Hair, blue Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fancy Updo,  lavender gloss  lipstick  
Elegant dress with holographic lacework, Vixen, Tall, Slim, Square Face, Tan Skin, Red Hair, brown Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Loose Curls,  rose metallic  lipstick  
Exotic ensemble with metallic scale-like textures, Trailblazer, Average Height, in shape, Heart-Shaped Face, Dark Skin, Dark Brown Hair, ruby Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Bouncy Curls,  brown satin  lipstick  
Vibrant coat with luminescent energy trails, Maven, Tall, Athletic, Round Face, Olive Skin, White Hair, Blue Eyes with Green Flecks, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Four-Strand Braid,  red gloss  lipstick  
Galactic empress gown with celestial-themed embroidery, Siren, Tall, Thin, Oval Face, Fair Skin, Golden Blonde Hair, Blue Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Tapered Afro,  teal metallic  lipstick  
Geminfused bodysuit, Phenom, Tall, Athletic, Round Face, Dark Skin, Blonde Hair, Amber Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Braided Updo,  burgundy velvet  lipstick  
Form-fitting liquid metal bodysuits, Lady, Tall, Fit, Square Face, Dark Skin, Brunette Hair, teal Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Messy Top Knot,  beige sheer  lipstick  
Flowing robe with shimmering ethereal patterns, Trailblazer, Average Height, Lean, Round Face, Tan Skin, Platinum Blonde Hair, ruby Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Chignon,   beige cream  lipstick  
Carbonfiber bodysuit with fiber optic light trails, Seductress, Short, Athletic, Round Face, Dark Skin, Chestnut Hair, green Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Coarse Hair,  choppy bob,  burgundy metallic  lipstick  
Futuristic bodysuit with pulsating neon lights, Visionary, Tall, in shape, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, ice blue Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Long Straight Hair,  augmented bodyparts, mauve sheer  lipstick  
Galactic empress gown with celestial-themed embroidery, Empress, Average Height, Firm, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, ice blue Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Boho Braid,   mauve metallic  lipstick  
Extravagant cloak with iridescent feathers, Belle, Short, Slim, Diamond-Shaped Face, Olive Skin, Blonde Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Four-Strand Braid,   orange metallic  lipstick  
Holographic jumpsuit with morphing geometric shapes, Gal, Tall, Fit, Triangular Face, Olive Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Fauxhawk,  light pink satin  lipstick  
Energy-infused outfit with glowing runic symbols, Miss, Short, in shape, Triangular Face, Dark Skin, Gray Hair, jade Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Low Updo,  augmented bodyparts, orange stain  lipstick  
Extravagant cloak with iridescent feathers, Woman, Tall, Wide Hips, Square Face, Fair Skin, Blonde Hair, blue Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Side Bangs,  orange metallic  lipstick  
Biomechanical exosuit with integrated biofeedback sensors, Belle, Short, in shape, Triangular Face, Olive Skin, Light Brown Hair, grey-blue Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Loose Waves,  beige stain  lipstick  
Regal suit with gemstone-encrusted lapels, Countess, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Strawberry Blonde Hair, Green Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Boho Braid,  orange cream  lipstick  
Molecular fabric jumpsuit that changes color based on emotions, Goddess, Tall, Athletic, Square Face, Olive Skin, Gray Hair, ruby Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Low Ponytail,  violet sheer  lipstick  
Aero-dynamic flight suit with wing-like attachments, Chanteuse, Short, Thin, Square Face, Tan Skin, Dark Brown Hair, aquamarine Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Twisted Bun,  pink velvet  lipstick  
Extraterrestrial suit with prismatic light reflections, Female Warrior, Average Height, Firm, Round Face, Olive Skin, Honey Blonde Hair, aquamarine Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Straight Bob,  lavender stain  lipstick  
Enchanted tunic and leggings with intricate crystal patterns, Heiress, Short, Athletic, Heart-Shaped Face, Dark Skin, Brunette Hair, aquamarine Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, High Messy Bun,  peach stain  lipstick  
Extraterrestrial suit with prismatic light reflections, Female Viking, Short, Thin, Triangular Face, Fair Skin, Gray Hair, teal Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Layered Bob,  orange sheer  lipstick  
Extravagant cloak with iridescent feathers, Lady, Average Height, Lean, Oval Face, Olive Skin, Auburn Hair, silver Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Formal Braided Updo,  augmented bodyparts, magenta metallic  lipstick  
Enigmatic robe woven with celestial symbols, Gal, Short, Thin, Round Face, Tan Skin, Golden Blonde Hair, Hazel Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob,   terracotta satin  lipstick  
Nanofiber bodysuit with integrated bioluminescent patterns, Miss, Tall, Skinny, Heart-Shaped Face, Dark Skin, White Hair, brown Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Braided Half Up,  brown velvet  lipstick  
Cosmic princess gown with LED constellations, Maven, Average Height, Thin, Oval Face, Fair Skin, Strawberry Blonde Hair, amber Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Viking Braid,  rose metallic  lipstick  
Quantum entanglement suits, Temptress, Average Height, Skinny, Heart-Shaped Face, Olive Skin, White Hair, teal Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Wavy Bob,  peach velvet  lipstick  
Advanced exosuit with thrusters and jetpack, Woman, Tall, Narrow Hips, Diamond-Shaped Face, Olive Skin, Gray Hair, yellow Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Tapered Afro,  terracotta velvet  lipstick  
Hyperdimensional fabric jumpsuits, Songstress, Short, Narrow Hips, Diamond-Shaped Face, Fair Skin, Light Brown Hair, black Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Chignon,  augmented bodyparts, hot pink stain  lipstick  
Futuristic bodysuit with pulsating neon lights, Starlet, Short, Slim, Round Face, Fair Skin, Gray Hair, silver Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Long Curled Updo,  grape matte  lipstick  
Gossamer gown adorned with crystalline embellishments, Madame, Short, Skinny, Round Face, Fair Skin, Gray Hair, green Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Braided Half Up,  augmented bodyparts, brown metallic  lipstick  
Mystical garment with shifting color gradients, Belle, Average Height, Wide Hips, Diamond-Shaped Face, Olive Skin, Black Hair, light blue Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Straight Bob,  cream satin  lipstick  
Leather jumpsuit with built-in mask, Trailblazer, Short, Wide Hips, Round Face, Olive Skin, Dark Brown Hair, dark brown Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Fluffy Afro, augmented bodyparts, magenta cream  lipstick  
Flowing robe with shimmering ethereal patterns, Starlet, Average Height, in shape, Square Face, Dark Skin, Auburn Hair, pink Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Twisted Bun,  mauve gloss  lipstick  
Regal suit with gemstone-encrusted lapels, Charmer, Short, in shape, Oval Face, Olive Skin, Golden Blonde Hair, amethyst Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Chignon,  violet cream  lipstick  
Hooded cloak with bioluminescent patterns, Maven, Short, Thin, Round Face, Dark Skin, Gray Hair, Blue Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Blunt Cut Bangs,  mauve gloss  lipstick  
Augmented reality suits, Starlet, Tall, Firm, Round Face, Olive Skin, Red Hair, green Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Wavy Bob,  mauve metallic  lipstick  
Nanofiber bodysuit with integrated bioluminescent patterns, Maven, Average Height, Toned, Round Face, Dark Skin, Golden Blonde Hair, aquamarine Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Bouncy Curls,  teal stain  lipstick  
Flowing robe with shimmering ethereal patterns, Female Warrior, Average Height, Skinny, Diamond-Shaped Face, Fair Skin, Gray Hair, coral Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair,  choppy bob,  cherry metallic  lipstick  
Alien ambassador ensemble, Baroness, Short, Wide Hips, Round Face, Dark Skin, Gray Hair, green Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Fine Hair, Tousled Waves,   plum metallic  lipstick  
Regal suit with gemstone-encrusted lapels, Goddess, Tall, Toned, Heart-Shaped Face, Dark Skin, Gray Hair, grey-blue Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob,  burgundy matte  lipstick  
Elven-inspired attire with flowing silks and intricate embroidery, Charmer, Tall, Athletic, Oval Face, Tan Skin, Strawberry Blonde Hair, Amber Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Wavy Bob,  red velvet  lipstick  
Nanotech suits, Dame, Tall, Narrow Hips, Triangular Face, Tan Skin, Gray Hair, turquoise Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Afro,   hot pink cream  lipstick  
Aero-dynamic flight suit with wing-like attachments, Enchantress, Short, Narrow Hips, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, red Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair,  choppy bob,  lavender cream  lipstick  
Elegant dress with holographic lacework, Female Warrior, Average Height, Toned, Heart-Shaped Face, Fair Skin, Dark Brown Hair, amber Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Fluffy Afro,  teal sheer  lipstick  
Exosuit with built-in helmet, Diva, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, Brown Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Braided Half Up,  brown satin  lipstick  
Carbonfiber bodysuit with fiber optic light trails, Songstress, Average Height, Thin, Triangular Face, Fair Skin, Chestnut Hair, coral Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Wavy Layered Bob,  cherry cream  lipstick  
Enchanted tunic and leggings with intricate crystal patterns, Empress, Tall, Narrow Hips, Square Face, Dark Skin, Red Hair, yellow Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Braided Half Up,  burgundy matte  lipstick  
Galactic empress gown with celestial-themed embroidery, Superwoman, Short, Athletic, Heart-Shaped Face, Fair Skin, Chestnut Hair, green Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Wedding Updo,  red cream  lipstick  
Energy-infused outfit with glowing runic symbols, Luminary, Short, Thin, Heart-Shaped Face, Olive Skin, Golden Blonde Hair, coral Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Wedding Updo,  grape metallic  lipstick  
Sleek metallic jumpsuit with luminescent accents, Luminary, Short, Lean, Heart-Shaped Face, Fair Skin, Red Hair, brown Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Shaggy Cut,  rust metallic  lipstick  
Aero-dynamic flight suit with wing-like attachments, Temptress, Average Height, Lean, Heart-Shaped Face, Fair Skin, Auburn Hair, dark brown Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Side French Braid,  fuchsia cream  lipstick  
Quantum entanglement suits, Vixen, Short, Athletic, Diamond-Shaped Face, Dark Skin, White Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Straight Hair, Blunt Bangs,  red matte  lipstick  
Futuristic trench coat with glowing accents, Miss, Tall, Skinny, Triangular Face, Tan Skin, Strawberry Blonde Hair, grey-blue Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Dutch Braid,  brown velvet  lipstick  
Space suit, Siren, Tall, in shape, Round Face, Tan Skin, Light Brown Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, High Ponytail,  berry stain  lipstick  
Vibrant coat with luminescent energy trails, Enigma, Tall, Toned, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, Hazel Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Top Knot,  lavender metallic  lipstick  
Flowing robe with shimmering ethereal patterns, Queen, Short, Toned, Square Face, Fair Skin, Light Brown Hair, ruby Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Bob with Bangs,  golden gloss  lipstick  
Cosmic princess gown with LED constellations, Phenom, Tall, Firm, Diamond-Shaped Face, Fair Skin, Blonde Hair, yellow Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Swept Bangs,  mauve sheer  lipstick  
Neon cyberpunk catsuit with integrated neural implants, Chanteuse, Tall, Firm, Oval Face, Tan Skin, Platinum Blonde Hair, teal Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Low Messy Bun,  rose velvet  lipstick  
Cosmic princess gown with LED constellations, Duchess, Tall, Lean, Oval Face, Tan Skin, Light Brown Hair, amber Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Shaggy Cut,  violet stain  lipstick  
Futuristic trench coat with glowing accents, Babe, Short, Thin, Heart-Shaped Face, Dark Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Wide Nose, Full Lips, Prominent Chin, Long Hair, Thick Hair, Herringbone Braid,  red metallic  lipstick  
Cosmic princess gown with LED constellations, Chanteuse, Average Height, Skinny, Round Face, Fair Skin, Platinum Blonde Hair, peach Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Curly Hair, Low Chignon,  rust velvet  lipstick  
exoskeleton suit, Seductress, Tall, Fit, Round Face, Olive Skin, Platinum Blonde Hair, grey Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Fluffy Afro,  violet cream  lipstick  
Magical robe infused with shimmering stardust, Mistress, Tall, Wide Hips, Round Face, Fair Skin, Honey Blonde Hair, dark brown Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Smooth Waves,  pink stain  lipstick  
Interstellar explorer suit, Artist, Short, Wide Hips, Oval Face, Tan Skin, Brunette Hair, aquamarine Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Top Knot,  rose stain  lipstick  
Fantastical attire with holographic illusion effects, Seductress, Short, Skinny, Square Face, Fair Skin, Black Hair, coral Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Messy Beach Waves,  pink gloss  lipstick  
Robotic exosuit with integrated AI assistant, Female Warrior, Short, Toned, Heart-Shaped Face, Dark Skin, Auburn Hair, dark brown Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Coarse Hair,  choppy bob,  coral metallic  lipstick  
Augmented reality suits, Escort, Tall, Thin, Round Face, Fair Skin, Light Brown Hair, amber Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Loose Curls,   berry stain  lipstick  
Slim-fit armor suit with built-in wings, Heiress, Short, Toned, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, silver Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Fauxhawk,  terracotta metallic  lipstick  
Glow-in-the-dark catsuit with detachable hood, Gal, Average Height, Slim, Triangular Face, Dark Skin, White Hair, blue Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Waterfall Braid,   soft pink cream  lipstick  
Cybernetic armor with built-in oxygen tank, Woman, Short, Wide Hips, Oval Face, Dark Skin, Red Hair, Hazel Eyes with Green Flecks, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Top Knot,  gloss velvet  lipstick  
Plasma-powered jumpsuit with pulsating energy patterns, Vixen, Short, Narrow Hips, Heart-Shaped Face, Olive Skin, Auburn Hair, jade Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Sock Bun,  light pink stain  lipstick  
Cybernetic armor with built-in oxygen tank, Heiress, Average Height, Fit, Heart-Shaped Face, Tan Skin, Red Hair, coral Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Braided Crown,  augmented bodyparts, teal cream  lipstick  
Extravagant cloak with iridescent feathers, Luminary, Tall, Wide Hips, Square Face, Olive Skin, Light Brown Hair, Blue Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Braided Headband,  cream sheer  lipstick  
Celestial-themed dress with sparkling celestial bodies, Vixen, Tall, Thin, Triangular Face, Dark Skin, Platinum Blonde Hair, ice blue Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Messy Bun,  burgundy stain  lipstick  
Hooded cloak with bioluminescent patterns, Babe, Tall, Toned, Heart-Shaped Face, Dark Skin, Gray Hair, dark brown Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Braided Updo,  black metallic  lipstick  
Holographic jumpsuits with iridescent threading that change color with movement, Artist, Average Height, Narrow Hips, Triangular Face, Fair Skin, Gray Hair, Green Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Double Braided Crown,  lavender gloss  lipstick  
Enchanted tunic and leggings with intricate crystal patterns, Vixen, Tall, Slim, Oval Face, Olive Skin, Silver Hair, brown Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Bun,  golden sheer  lipstick  
